seed,epoch,train_loss,val_loss,val_per
0,868,,,
0,871,,,
0,872,,,
0,876,,,
0,879,,,
0,880,,,
0,882,,,
0,887,,,
0,892,,,
0,893,,,
0,894,,,
0,895,,,
0,896,,,
0,897,,,
0,898,,,
0,899,,,
0,900,,,
0,901,,,
0,902,,,
0,904,,,
0,908,,,
0,909,,,
0,913,,,
0,916,,,
0,917,,,
0,918,,,
0,920,,,
0,921,,,
0,922,,,
0,926,,,
0,927,,,
0,928,,,
0,930,,,
0,931,,,
0,932,,,
0,934,,,
0,936,,,
0,938,,,
0,939,,,
0,940,,,
0,941,,,
0,942,,,
0,944,,,
0,946,,,
0,948,,,
0,949,,,
1,0,742.589111328125,,
1,1,,705.0234665289158,1.2643022537231445
1,5,54.47853469848633,,
1,7,28.866474151611328,,
1,8,16.95046043395996,,
1,9,28.846763610839844,,
1,10,25.158344268798828,,
1,11,12.206985473632812,,
1,12,,23.071625418779327,0.22714532911777496
1,14,15.264203071594238,,
1,16,10.292740821838379,,
1,17,13.020612716674805,,
1,18,10.577126502990723,,
1,19,6.9765424728393555,,
1,20,7.576096534729004,,
1,21,7.008272647857666,,
1,22,4.57114315032959,,
1,24,4.953810691833496,,
1,27,6.673710346221924,,
1,28,6.20185661315918,,
1,30,2.7385342121124268,,
1,31,5.296403884887695,,
1,33,3.94197154045105,,
1,34,,17.25761860172923,0.13729706406593323
1,35,4.655309677124023,,
1,37,6.444089412689209,,
1,38,2.9377002716064453,,
1,40,2.516972541809082,,
1,41,3.5490646362304688,,
1,42,2.304170846939087,,
1,43,2.8544492721557617,,
1,44,2.123137950897217,,
1,45,,18.38558565988773,0.13442210853099823
1,46,3.2232425212860107,,
1,47,4.470357418060303,,
1,48,2.577683925628662,,
1,50,2.4985532760620117,,
1,52,1.1740649938583374,,
1,54,1.4044352769851685,,
1,55,3.018167018890381,,
1,58,1.7482495307922363,,
1,60,1.5134267807006836,,
1,61,1.1112897396087646,,
1,63,1.8704149723052979,,
1,64,2.1205883026123047,,
1,65,1.5149614810943604,,
1,66,1.525376796722412,,
1,67,,19.931650155928075,0.12625627219676971
1,68,1.4092063903808594,,
1,69,1.1020793914794922,,
1,73,1.0280801057815552,,
1,74,0.9202343821525574,,
1,75,1.7466093301773071,,
1,76,0.6356810927391052,,
1,77,0.8040146231651306,,
1,78,,20.1738816761389,0.12263239175081253
1,81,1.1235243082046509,,
1,83,1.1095536947250366,,
1,84,0.7588894963264465,,
1,85,0.5078299045562744,,
1,86,0.8471318483352661,,
1,88,1.4143435955047607,,
1,89,,21.08127126461122,0.1217384934425354
1,90,0.8050364851951599,,
1,91,0.8102432489395142,,
1,93,0.5758999586105347,,
1,94,0.6973845958709717,,
1,95,0.9341921806335449,,
1,96,0.6731935739517212,,
1,97,0.6470744609832764,,
1,99,1.1099882125854492,,
1,102,0.31498241424560547,,
1,103,1.171485185623169,,
1,104,0.9120193719863892,,
1,105,0.2672414779663086,,
1,106,0.4631824791431427,,
1,108,0.9094362854957581,,
1,109,0.16982805728912354,,
1,111,,21.774279041988095,0.11917761713266373
1,112,0.42821070551872253,,
1,118,0.47900068759918213,,
1,119,0.7179385423660278,,
1,120,0.430134654045105,,
1,121,1.165081262588501,,
1,122,,22.221798012896283,0.11864610761404037
1,123,0.05767913535237312,,
1,124,0.8542032837867737,,
1,126,0.7089258432388306,,
1,127,0.7225320935249329,,
1,129,0.48520922660827637,,
1,132,0.2473008632659912,,
1,133,,22.593765811222355,0.11932256817817688
1,134,0.8784553408622742,,
1,135,0.4006616473197937,,
1,136,0.5975115299224854,,
1,137,0.18537424504756927,,
1,140,0.40353235602378845,,
1,141,0.33040425181388855,,
1,142,0.5560629367828369,,
1,143,0.3268531560897827,,
1,144,,22.21234699284158,0.11690664291381836
1,145,0.46342676877975464,,
1,147,0.38941460847854614,,
1,149,0.4182686507701874,,
1,150,0.5242761373519897,,
1,153,0.27550244331359863,,
1,154,0.646584689617157,,
1,155,,22.502811806957897,0.11465983092784882
1,157,0.3510908782482147,,
1,159,0.6108466386795044,,
1,160,0.3681798577308655,,
1,161,0.31535184383392334,,
1,162,0.552484929561615,,
1,163,0.5584501624107361,,
1,164,0.11673310399055481,,
1,166,,22.269266823442972,0.11456319689750671
1,167,0.3201698660850525,,
1,169,0.2361290156841278,,
1,170,0.23758795857429504,,
1,171,0.08412051200866699,,
1,172,0.5546416640281677,,
1,174,0.2631976306438446,,
1,175,0.06130656599998474,,
1,176,0.2318221926689148,,
1,177,,22.48896728783119,0.11439408361911774
1,180,0.35301077365875244,,
1,182,0.058889005333185196,,
1,184,0.3959095776081085,,
1,185,0.13510821759700775,,
1,186,0.3993101716041565,,
1,187,0.07828521728515625,,
1,188,,22.99465821865128,0.11565036326646805
1,189,0.11778669059276581,,
1,190,0.13998299837112427,,
1,193,0.08536624908447266,,
1,194,0.19913138449192047,,
1,195,0.08520316332578659,,
1,196,0.17191585898399353,,
1,198,0.035710133612155914,,
1,199,,23.132550076740543,0.11412832885980606
1,200,0.19234438240528107,,
1,201,0.2513844966888428,,
1,202,0.10637090355157852,,
1,203,0.21313035488128662,,
1,204,0.09423113614320755,,
1,205,0.03811020776629448,,
1,206,0.10670114308595657,,
1,207,0.08935021609067917,,
1,208,0.1586182564496994,,
1,209,0.7571651935577393,,
1,210,,23.15352172095601,0.11313780397176743
1,211,0.12164375185966492,,
1,212,0.18863046169281006,,
1,213,0.18347108364105225,,
1,214,0.04386354610323906,,
1,215,0.17843805253505707,,
1,217,0.2894425392150879,,
1,218,0.3631856143474579,,
1,219,0.06633415818214417,,
1,220,0.14491724967956543,,
1,221,,22.641298814517697,0.11021453142166138
1,222,0.15612557530403137,,
1,225,0.13279366493225098,,
1,226,0.208478644490242,,
1,228,0.16419553756713867,,
1,230,0.19078099727630615,,
1,231,0.07697653770446777,,
1,232,,22.867039767707265,0.11110842227935791
1,233,0.08826267719268799,,
1,234,0.10169034451246262,,
1,235,0.03819572180509567,,
1,236,0.03771473467350006,,
1,238,0.10357476770877838,,
1,240,0.14515896141529083,,
1,241,0.023735597729682922,,
1,242,0.06601817905902863,,
1,244,0.41768354177474976,,
1,246,0.056950002908706665,,
1,247,0.05444340407848358,,
1,248,0.03343174234032631,,
1,249,0.09256573766469955,,
1,250,0.04173613712191582,,
1,251,0.08481387794017792,,
1,252,0.06803356111049652,,
1,253,0.04931202530860901,,
1,255,0.10723619163036346,,
1,257,0.08728434145450592,,
1,258,0.055954691022634506,,
1,259,0.15283462405204773,,
1,260,0.042339686304330826,,
1,261,0.09837882965803146,,
1,262,0.3633890151977539,,
1,264,0.014163369312882423,,
1,265,,23.13993044015838,0.10910320281982422
1,266,0.08532118052244186,,
1,267,0.027258912101387978,,
1,268,0.14988893270492554,,
1,269,0.15420308709144592,,
1,270,0.2728617191314697,,
1,271,0.038697391748428345,,
1,272,0.10168084502220154,,
1,273,0.3080207407474518,,
1,274,0.20449307560920715,,
1,276,,23.27300506394084,0.10953807085752487
1,277,0.019805485382676125,,
1,278,0.048741672188043594,,
1,279,0.12279089540243149,,
1,280,0.03520478308200836,,
1,281,0.222164124250412,,
1,282,0.12284523993730545,,
1,283,0.09037479758262634,,
1,285,0.030659951269626617,,
1,286,0.021234625950455666,,
1,287,,22.85903545269152,0.10719462484121323
1,290,0.0072154700756073,,
1,291,0.033726051449775696,,
1,292,0.021286815404891968,,
1,293,0.05532069504261017,,
1,294,0.08287160843610764,,
1,295,0.04125576838850975,,
1,297,0.021820789203047752,,
1,299,0.07029861956834793,,
1,300,0.13580164313316345,,
1,302,0.04178045690059662,,
1,303,0.18614338338375092,,
1,304,0.018425220623612404,,
1,308,0.050894398242235184,,
1,309,,22.285156331411223,0.10666312277317047
1,310,0.06480487436056137,,
1,311,0.00321302842348814,,
1,313,0.19770236313343048,,
1,314,0.010179666802287102,,
1,316,0.03374778479337692,,
1,317,0.022623751312494278,,
1,318,0.023473326116800308,,
1,320,,22.434422199319048,0.10615577548742294
1,321,0.019873492419719696,,
1,322,0.019420728087425232,,
1,323,0.02693803980946541,,
1,324,0.29411202669143677,,
1,325,0.1332373172044754,,
1,326,0.06218311935663223,,
1,327,0.014476539567112923,,
1,330,0.04270683228969574,,
1,331,,22.797886919684526,0.10680807381868362
1,332,0.10670513659715652,,
1,333,0.02517317607998848,,
1,337,0.015149292536079884,,
1,340,0.01857302151620388,,
1,341,0.05559144541621208,,
1,342,,22.808300191309392,0.10535851866006851
1,344,0.03003004938364029,,
1,346,0.07828731834888458,,
1,349,0.009067528881132603,,
1,350,0.010476797819137573,,
1,351,0.25963926315307617,,
